Name,Weight,Cost,Notes,Vendor,
"Bear, Trained",,300d,,Animal Handler,
"Dog, Sled",,30d,,Animal Handler,
"Dog, Trained",,24d,,Animal Handler,
"Falcon, Trained",5,100d,,Animal Handler,
"Puppy, Hound",,18d,,Animal Handler,
"Puppy, Ratter",,9d,,Animal Handler,
"Puppy, Sheepdog",,18d,,Animal Handler,
"Puppy, Wolfhound",,12d,,Animal Handler,
"Acid, Strong",,30d,,Apothecary,#NAME?
"Acid, Weak",,6d,,Apothecary,
"Herb, Very Common, per oz",,3d,,Apothecary,
"Herb, Common, per oz",,6d,,Apothecary,
"Herb, Uncommon, per oz",,12d,,Apothecary,
"Herb, Rare, per oz",,60d,,Apothecary,
"Herb, Very Rare, per oz",,120d,,Apothecary,
"Spice, Alum, per oz",,16d,,Apothecary,
"Spice, Bdellium, per oz",,40d,,Apothecary,
"Spice, Cinnamon, per oz",,40d,,Apothecary,
"Spice, Camphor, per oz",,50d,,Apothecary,
"Spice, Frankincense, per oz",,70d,,Apothecary,
"Spice, Ginger, per oz",,30d,,Apothecary,
"Spice, Ginseng, per oz",,170d,,Apothecary,
"Spice, Keddryth, per oz",,45d,,Apothecary,
"Spice, Lashu Powder, per oz",,180d,,Apothecary,
"Spice, Marthyn, per oz",,200d,,Apothecary,
"Spice, Myrrh, per oz",,150d,,Apothecary,
"Spice, Nard, per oz",,100d,,Apothecary,
"Spice, Nutmeg, per oz",,50d,,Apothecary,
"Spice, Pepper, per oz",,36d,,Apothecary,
,,,,Apothecary,
Beeswax,1,1d,,Apothecary,
Garlic bulb,0.1,9d,,Apothecary,
"Glue, pint",1,3d,,Apothecary,
Pipe weed,,2d,,Apothecary,
"Sponges , each",0.1,45d,,Apothecary,
Sugar,1,60d,,Apothecary,
"Talc, Fine",,10d,,Apothecary,
"Tea, per oz",,35d,,Apothecary,
,,,,Apothecary,
"Alanal (Hallucinogen), dose",,6d,,Apothecary,
"Arva (Strength) , dose",,120d,,Apothecary,
"Berilik (Anesthetic) , dose",,30d,,Apothecary,
"Doshenkana (Poison) , dose",,15d,,Apothecary,
"Elprequir (Aphrodisiac) , dose",,12d,,Apothecary,
"Fanosel (Narcotic) , dose",,30d,,Apothecary,
"Fletharane (Hallucinogen) , dose",,20d,,Apothecary,
"Gaethipa (Poison) , dose",,60d,,Apothecary,
"Habsulara (Intelligence) , dose",,6d,,Apothecary,
"Hreyochor (Fertility) , dose",,30d,,Apothecary,
"Joldraiven (Equine Stimulant) , dose",,150d,,Apothecary,
"Kargele (Healing) , dose",,150d,,Apothecary,
"Lavaryctia (Sopoforic) , dose",,30d,,Apothecary,
"Leortevald (Poison) , dose",,8d,,Apothecary,
"Metysso (Invisible Ink) , dose",,40d,,Apothecary,
"Olrui / Monogium (Stimulant) , dose",,26d,,Apothecary,
"Perigwar (Aphrodisiac) , dose",,30d,,Apothecary,
"Quessel (Antidote) , dose",,30d,,Apothecary,
"Rasakile (Contraceptive) , dose",,6d,,Apothecary,
"Stiltrassa (Emetic) , dose",,60d,,Apothecary,
"Tasparth (Ordeal Drug) , dose",,3d,,Apothecary,
"Teranya (Eye Cure) , dose",,30d,,Apothecary,
"Tirgaeth (Narcotic) , dose",,15d,,Apothecary,
"Wylorafina (Poison) , dose",,30d,,Apothecary,
"Yulpris (Universal Antidote) , dose",,600d,,Apothecary,
Schooling (Satia),,42d,per mo,Arcane Lore,
Schooling (Shenava),,84d,per mo,Arcane Lore,
Schooling (Viran),,168d,per mo,Arcane Lore,
Diploma & Ceremony,,36d,,Arcane Lore,
Room & Board for Members,,90d,per mo,Arcane Lore,
"Tarot Cards, deck",,40d,,Arcane Lore,
"Sage, Uncommon Information",,25d,,Arcane Lore,
"Sage, Identification of plant",,25d,,Arcane Lore,
"Sage, Summary of Politics",,25d,,Arcane Lore,
"Sage, Recent History",,25d,,Arcane Lore,
"Sage, Rare Information",,75d,,Arcane Lore,
"Sage, Read Dead Language",,75d,,Arcane Lore,
"Sage, Description of Foreign Lands",,75d,,Arcane Lore,
"Sage, Old History",,75d,,Arcane Lore,
"Sage, Very Rare Information",,200d,,Arcane Lore,
"Sage, Read Ancient Dead Lang.",,200d,,Arcane Lore,
"Sage, Desc. of Far-Away lands",,200d,,Arcane Lore,
"Sage, Ancient History",,200d,,Arcane Lore,
"Sage, Dangerous / Illicit Information",,500d,,Arcane Lore,
